MariaDB [dbtugas5]> SELECT o.addressLine1, o.phone, o.city as kota,
    -> e.firstName, e.email, e.jobTitle, c.customerName,
    -> c.phone as telp, c.city, p.paymentDate, p.amount
    -> FROM employees as e
    -> INNER JOIN offices as o ON e.officeCode = o.officeCode
    -> INNER JOIN customers as c ON e.employeeNumber = c.salesRepEmployeeNumber
    -> INNER JOIN payments as p ON c.customerNumber = p.customerNumber;
ERROR 2006 (HY000): MySQL server has gone away
No connection. Trying to reconnect...
Connection id:    793
Current database: dbtugas5

+--------------------------+------------------+---------------+-----------+---------------------------------+-----------+------------------------------------+--------------------+-------------------+-------------+-----------+
| addressLine1             | phone            | kota          | firstName | email                           | jobTitle  | customerName                       | telp               | city              | paymentDate | amount    |
| 1550 Court Place         | +1 215 837 0825  | Boston        | Steve     | spatterson@classicmodelcars.com | Sales Rep | Online Diecast Creations Co.       | 6035558647         | Nashua            | 2004-11-17  |  50799.69 |
| 1550 Court Place         | +1 215 837 0825  | Boston        | Steve     | spatterson@classicmodelcars.com | Sales Rep | Online Diecast Creations Co.       | 6035558647         | Nashua            | 2003-01-16  |  10223.83 |
| 1550 Court Place         | +1 215 837 0825  | Boston        | Steve     | spatterson@classicmodelcars.com | Sales Rep | Online Diecast Creations Co.       | 6035558647         | Nashua            | 2003-12-05  |  55425.77 |
| 1550 Court Place         | +1 215 837 0825  | Boston        | Steve     | spatterson@classicmodelcars.com | Sales Rep | FunGiftIdeas.com                   | 5085552555         | New Bedford       | 2005-04-15  |  30293.77 |
| 1550 Court Place         | +1 215 837 0825  | Boston        | Steve     | spatterson@classicmodelcars.com | Sales Rep | FunGiftIdeas.com                   | 5085552555         | New Bedford       | 2003-11-08  |   9977.85 |
| 1550 Court Place         | +1 215 837 0825  | Boston        | Steve     | spatterson@classicmodelcars.com | Sales Rep | FunGiftIdeas.com                   | 5085552555         | New Bedford       | 2004-11-27  |  48355.87 |
| 523 East 53rd Street     | +1 212 555 3000  | NYC           | Foon Yue  | ftseng@classicmodelcars.com     | Sales Rep | Muscle Machine Inc                 | 2125557413         | NYC               | 2003-12-22  |  58793.53 |
| 523 East 53rd Street     | +1 212 555 3000  | NYC           | Foon Yue  | ftseng@classicmodelcars.com     | Sales Rep | Muscle Machine Inc                 | 2125557413         | NYC               | 2004-07-26  |  20314.44 |
| 523 East 53rd Street     | +1 212 555 3000  | NYC           | Foon Yue  | ftseng@classicmodelcars.com     | Sales Rep | Muscle Machine Inc                 | 2125557413         | NYC               | 2003-06-18  |  58841.35 |
| 523 East 53rd Street     | +1 212 555 3000  | NYC           | Foon Yue  | ftseng@classicmodelcars.com     | Sales Rep | Muscle Machine Inc                 | 2125557413         | NYC               | 2004-12-14  |  39964.63 |
| 523 East 53rd Street     | +1 212 555 3000  | NYC           | Foon Yue  | ftseng@classicmodelcars.com     | Sales Rep | Vitachrome Inc.                    | 2125551500         | NYC               | 2004-04-25  |  22602.36 |
| 523 East 53rd Street     | +1 212 555 3000  | NYC           | Foon Yue  | ftseng@classicmodelcars.com     | Sales Rep | Vitachrome Inc.                    | 2125551500         | NYC               | 2003-01-30  |   5494.78 |
| 523 East 53rd Street     | +1 212 555 3000  | NYC           | Foon Yue  | ftseng@classicmodelcars.com     | Sales Rep | Vitachrome Inc.                    | 2125551500         | NYC               | 2004-11-16  |  44400.50 |
| 523 East 53rd Street     | +1 212 555 3000  | NYC           | Foon Yue  | ftseng@classicmodelcars.com     | Sales Rep | Qu├⌐bec Home Shopping Network       | (514) 555-8054     | Montr├⌐al          | 2005-05-20  |  29070.38 |
| 523 East 53rd Street     | +1 212 555 3000  | NYC           | Foon Yue  | ftseng@classicmodelcars.com     | Sales Rep | Qu├⌐bec Home Shopping Network       | (514) 555-8054     | Montr├⌐al          | 2004-07-01  |  22997.45 |
| 523 East 53rd Street     | +1 212 555 3000  | NYC           | Foon Yue  | ftseng@classicmodelcars.com     | Sales Rep | Qu├⌐bec Home Shopping Network       | (514) 555-8054     | Montr├⌐al          | 2003-11-18  |  16909.84 |
| 523 East 53rd Street     | +1 212 555 3000  | NYC           | Foon Yue  | ftseng@classicmodelcars.com     | Sales Rep | Classic Legends Inc.               | 2125558493         | NYC               | 2004-12-07  |  25505.98 |
| 523 East 53rd Street     | +1 212 555 3000  | NYC           | Foon Yue  | ftseng@classicmodelcars.com     | Sales Rep | Classic Legends Inc.               | 2125558493         | NYC               | 2003-04-16  |  21665.98 |
| 523 East 53rd Street     | +1 212 555 3000  | NYC           | Foon Yue  | ftseng@classicmodelcars.com     | Sales Rep | Classic Legends Inc.               | 2125558493         | NYC               | 2003-10-31  |  22042.37 |
| 523 East 53rd Street     | +1 212 555 3000  | NYC           | Foon Yue  | ftseng@classicmodelcars.com     | Sales Rep | Super Scale Inc.                   | 2035559545         | New Haven         | 2003-12-05  |  38139.18 |
| 523 East 53rd Street     | +1 212 555 3000  | NYC           | Foon Yue  | ftseng@classicmodelcars.com     | Sales Rep | Super Scale Inc.                   | 2035559545         | New Haven         | 2004-05-12  |  32239.47 |
| 523 East 53rd Street     | +1 212 555 3000  | NYC           | Foon Yue  | ftseng@classicmodelcars.com     | Sales Rep | Microscale Inc.                    | 2125551957         | NYC               | 2004-11-13  |  27550.51 |
| 523 East 53rd Street     | +1 212 555 3000  | NYC           | Foon Yue  | ftseng@classicmodelcars.com     | Sales Rep | Microscale Inc.                    | 2125551957         | NYC               | 2004-04-30  |   1679.92 |
| 523 East 53rd Street     | +1 212 555 3000  | NYC           | George    | gvanauf@classicmodelcars.com    | Sales Rep | Land of Toys Inc.                  | 2125557818         | NYC               | 2003-03-12  |  22292.62 |
| 523 East 53rd Street     | +1 212 555 3000  | NYC           | George    | gvanauf@classicmodelcars.com    | Sales Rep | Land of Toys Inc.                  | 2125557818         | NYC               | 2004-12-02  |  50025.35 |
| 523 East 53rd Street     | +1 212 555 3000  | NYC           | George    | gvanauf@classicmodelcars.com    | Sales Rep | Land of Toys Inc.                  | 2125557818         | NYC               | 2004-09-11  |  35321.97 |
| 523 East 53rd Street     | +1 212 555 3000  | NYC           | George    | gvanauf@classicmodelcars.com    | Sales Rep | Gift Depot Inc.                    | 2035552570         | Bridgewater       | 2005-05-19  |  28500.78 |
| 523 East 53rd Street     | +1 212 555 3000  | NYC           | George    | gvanauf@classicmodelcars.com    | Sales Rep | Gift Depot Inc.                    | 2035552570         | Bridgewater       | 2003-11-19  |  24879.08 |
| 523 East 53rd Street     | +1 212 555 3000  | NYC           | George    | gvanauf@classicmodelcars.com    | Sales Rep | Gift Depot Inc.                    | 2035552570         | Bridgewater       | 2004-07-10  |  42044.77 |
| 523 East 53rd Street     | +1 212 555 3000  | NYC           | George    | gvanauf@classicmodelcars.com    | Sales Rep | Canadian Gift Exchange Network     | (604) 555-3392     | Vancouver         | 2003-12-18  |  36527.61 |
| 523 East 53rd Street     | +1 212 555 3000  | NYC           | George    | gvanauf@classicmodelcars.com    | Sales Rep | Canadian Gift Exchange Network     | (604) 555-3392     | Vancouver         | 2004-11-08  |  33594.58 |
| 523 East 53rd Street     | +1 212 555 3000  | NYC           | George    | gvanauf@classicmodelcars.com    | Sales Rep | Royal Canadian Collectables, Ltd.  | (604) 555-4555     | Tsawassen         | 2004-08-30  |  37527.58 |
| 523 East 53rd Street     | +1 212 555 3000  | NYC           | George    | gvanauf@classicmodelcars.com    | Sales Rep | Royal Canadian Collectables, Ltd.  | (604) 555-4555     | Tsawassen         | 2004-04-24  |  29284.42 |
| 523 East 53rd Street     | +1 212 555 3000  | NYC           | George    | gvanauf@classicmodelcars.com    | Sales Rep | Mini Classics                      | 9145554562         | White Plains      | 2004-11-06  |  42339.76 |
| 523 East 53rd Street     | +1 212 555 3000  | NYC           | George    | gvanauf@classicmodelcars.com    | Sales Rep | Mini Classics                      | 9145554562         | White Plains      | 2003-12-07  |  36092.40 |
| 523 East 53rd Street     | +1 212 555 3000  | NYC           | George    | gvanauf@classicmodelcars.com    | Sales Rep | Tekni Collectables Inc.            | 2015559350         | Newark            | 2004-04-16  |   7178.66 |
| 523 East 53rd Street     | +1 212 555 3000  | NYC           | George    | gvanauf@classicmodelcars.com    | Sales Rep | Tekni Collectables Inc.            | 2015559350         | Newark            | 2004-05-30  |  31102.85 |
| 523 East 53rd Street     | +1 212 555 3000  | NYC           | George    | gvanauf@classicmodelcars.com    | Sales Rep | Gift Ideas Corp.                   | 2035554407         | Glendale          | 2003-09-15  |   6631.36 |
| 523 East 53rd Street     | +1 212 555 3000  | NYC           | George    | gvanauf@classicmodelcars.com    | Sales Rep | Gift Ideas Corp.                   | 2035554407         | Glendale          | 2003-06-25  |  17032.29 |
| 523 East 53rd Street     | +1 212 555 3000  | NYC           | George    | gvanauf@classicmodelcars.com    | Sales Rep | Gift Ideas Corp.                   | 2035554407         | Glendale          | 2004-12-17  |  26304.13 |
| 523 East 53rd Street     | +1 212 555 3000  | NYC           | George    | gvanauf@classicmodelcars.com    | Sales Rep | Motor Mint Distributors Inc.       | 2155559857         | Philadelphia      | 2004-04-14  |   5899.38 |
| 523 East 53rd Street     | +1 212 555 3000  | NYC           | George    | gvanauf@classicmodelcars.com    | Sales Rep | Motor Mint Distributors Inc.       | 2155559857         | Philadelphia      | 2004-11-23  |  45994.07 |
| 523 East 53rd Street     | +1 212 555 3000  | NYC           | George    | gvanauf@classicmodelcars.com    | Sales Rep | Motor Mint Distributors Inc.       | 2155559857         | Philadelphia      | 2003-03-20  |  25833.14 |
| 43 Rue Jouffroy D'abbans | +33 14 723 4404  | Paris         | Loui      | lbondur@classicmodelcars.com    | Sales Rep | Saveley & Henriot, Co.             | 78.32.5555         | Lyon              | 2004-03-18  |  40978.53 |
| 43 Rue Jouffroy D'abbans | +33 14 723 4404  | Paris         | Loui      | lbondur@classicmodelcars.com    | Sales Rep | Saveley & Henriot, Co.             | 78.32.5555         | Lyon              | 2004-01-16  |  49614.72 |
| 43 Rue Jouffroy D'abbans | +33 14 723 4404  | Paris         | Loui      | lbondur@classicmodelcars.com    | Sales Rep | Saveley & Henriot, Co.             | 78.32.5555         | Lyon              | 2003-12-10  |  39712.10 |
| 43 Rue Jouffroy D'abbans | +33 14 723 4404  | Paris         | Loui      | lbondur@classicmodelcars.com    | Sales Rep | La Corne D'abondance, Co.          | (1) 42.34.2555     | Paris             | 2004-09-09  |   1960.80 |
| 43 Rue Jouffroy D'abbans | +33 14 723 4404  | Paris         | Loui      | lbondur@classicmodelcars.com    | Sales Rep | La Corne D'abondance, Co.          | (1) 42.34.2555     | Paris             | 2004-12-04  |  51209.58 |
| 43 Rue Jouffroy D'abbans | +33 14 723 4404  | Paris         | Loui      | lbondur@classicmodelcars.com    | Sales Rep | La Corne D'abondance, Co.          | (1) 42.34.2555     | Paris             | 2003-04-20  |  33383.14 |
| 43 Rue Jouffroy D'abbans | +33 14 723 4404  | Paris         | Loui      | lbondur@classicmodelcars.com    | Sales Rep | Lyon Souveniers                    | +33 1 46 62 7555   | Paris             | 2005-05-17  |  17928.09 |
| 43 Rue Jouffroy D'abbans | +33 14 723 4404  | Paris         | Loui      | lbondur@classicmodelcars.com    | Sales Rep | Lyon Souveniers                    | +33 1 46 62 7555   | Paris             | 2004-12-30  |  26311.63 |
| 43 Rue Jouffroy D'abbans | +33 14 723 4404  | Paris         | Loui      | lbondur@classicmodelcars.com    | Sales Rep | Lyon Souveniers                    | +33 1 46 62 7555   | Paris             | 2003-07-18  |  23419.47 |
| 43 Rue Jouffroy D'abbans | +33 14 723 4404  | Paris         | Loui      | lbondur@classicmodelcars.com    | Sales Rep | Marseille Mini Autos               | 91.24.4555         | Marseille         | 2004-12-11  |  18888.31 |
| 43 Rue Jouffroy D'abbans | +33 14 723 4404  | Paris         | Loui      | lbondur@classicmodelcars.com    | Sales Rep | Marseille Mini Autos               | 91.24.4555         | Marseille         | 2003-05-25  |  50824.66 |
| 43 Rue Jouffroy D'abbans | +33 14 723 4404  | Paris         | Loui      | lbondur@classicmodelcars.com    | Sales Rep | Marseille Mini Autos               | 91.24.4555         | Marseille         | 2005-01-29  |   1834.56 |
| 43 Rue Jouffroy D'abbans | +33 14 723 4404  | Paris         | Loui      | lbondur@classicmodelcars.com    | Sales Rep | Reims Collectables                 | 26.47.1555         | Reims             | 2005-01-10  |  49705.52 |
| 43 Rue Jouffroy D'abbans | +33 14 723 4404  | Paris         | Loui      | lbondur@classicmodelcars.com    | Sales Rep | Reims Collectables                 | 26.47.1555         | Reims             | 2003-07-21  |  13920.26 |
| 43 Rue Jouffroy D'abbans | +33 14 723 4404  | Paris         | Loui      | lbondur@classicmodelcars.com    | Sales Rep | Reims Collectables                 | 26.47.1555         | Reims             | 2003-05-21  |  16700.47 |
| 43 Rue Jouffroy D'abbans | +33 14 723 4404  | Paris         | Loui      | lbondur@classicmodelcars.com    | Sales Rep | Reims Collectables                 | 26.47.1555         | Reims             | 2005-06-09  |  46656.94 |
| 43 Rue Jouffroy D'abbans | +33 14 723 4404  | Paris         | Loui      | lbondur@classicmodelcars.com    | Sales Rep | Auto Canal+ Petit                  | (1) 47.55.6555     | Paris             | 2005-04-23  |  12190.85 |
| 43 Rue Jouffroy D'abbans | +33 14 723 4404  | Paris         | Loui      | lbondur@classicmodelcars.com    | Sales Rep | Auto Canal+ Petit                  | (1) 47.55.6555     | Paris             | 2004-01-28  |  49165.16 |
| 43 Rue Jouffroy D'abbans | +33 14 723 4404  | Paris         | Loui      | lbondur@classicmodelcars.com    | Sales Rep | Auto Canal+ Petit                  | (1) 47.55.6555     | Paris             | 2004-06-17  |  25080.96 |
| 43 Rue Jouffroy D'abbans | +33 14 723 4404  | Paris         | Gerard    | ghernande@classicmodelcars.com  | Sales Rep | Atelier graphique                  | 40.32.2555         | Nantes            | 2004-10-19  |   6066.78 |
| 43 Rue Jouffroy D'abbans | +33 14 723 4404  | Paris         | Gerard    | ghernande@classicmodelcars.com  | Sales Rep | Atelier graphique                  | 40.32.2555         | Nantes            | 2003-06-05  |  14571.44 |
| 43 Rue Jouffroy D'abbans | +33 14 723 4404  | Paris         | Gerard    | ghernande@classicmodelcars.com  | Sales Rep | Atelier graphique                  | 40.32.2555         | Nantes            | 2004-12-18  |   1676.14 |
| 43 Rue Jouffroy D'abbans | +33 14 723 4404  | Paris         | Gerard    | ghernande@classicmodelcars.com  | Sales Rep | La Rochelle Gifts                  | 40.67.8555         | Nantes            | 2004-11-14  |  19501.82 |
| 43 Rue Jouffroy D'abbans | +33 14 723 4404  | Paris         | Gerard    | ghernande@classicmodelcars.com  | Sales Rep | La Rochelle Gifts                  | 40.67.8555         | Nantes            | 2004-08-08  |  47924.19 |
| 43 Rue Jouffroy D'abbans | +33 14 723 4404  | Paris         | Gerard    | ghernande@classicmodelcars.com  | Sales Rep | La Rochelle Gifts                  | 40.67.8555         | Nantes            | 2005-02-22  |  49523.67 |
| 43 Rue Jouffroy D'abbans | +33 14 723 4404  | Paris         | Gerard    | ghernande@classicmodelcars.com  | Sales Rep | Euro+ Shopping Channel             | (91) 555 94 44     | Madrid            | 2003-07-19  |  36251.03 |
| 43 Rue Jouffroy D'abbans | +33 14 723 4404  | Paris         | Gerard    | ghernande@classicmodelcars.com  | Sales Rep | Euro+ Shopping Channel             | (91) 555 94 44     | Madrid            | 2004-11-01  |  36140.38 |
